Title,Project,Date,Artist,Image,Content
SPYAIR ASIA TOUR 2024 - ORANGE - in SEOUL,무신사개러지,2024-05-25,SPYAIR,media/myarticleimage/SPYAIRASIATOUR2024ORANGEinSEOUL2024-05-25.jpg,"[공연 안내]
SPYAIR ASIA TOUR 2024 - ORANGE - in SEOUL
일시 : 2024. 5. 25(토) ~ 26(일) 입장17:20 시작18:00
장소 : musinsa garage
티켓 : 전석 스탠딩 90,000원
예매 : 인터파크티켓(1544-1555)
[예매 안내]
(선예매) 1인 2매 예매 제한
1회차 5/25 공연 : 24. 2. 15. 오후 18시 오픈 (16일 15시 종료)
2회차 5/26 공연 : 24. 2. 15. 오후 19시 오픈 (16일 15시 종료)
(일반오픈) 1인 2매 예매 제한
1회차 5/25 공연 : 24. 2. 16. 오후 18시 오픈
2회차 5/26 공연 : 24. 2. 16. 오후 19시 오픈
[예매객 추첨 이벤트]
Back Stage MEET & GREET (토일 각각 10명씩)
・ 티켓 예매 고객 중에서 무작위 추첨으로 토/일 공연 각 10명씩 선발 추첨
・ 공연 종료 후, 멤버와 기념 단체사진 촬영 (관객 휴대폰으로 촬영)
・ 당첨 리스트는 공연 당일, Ticket Box 내부 안내문 부착 예정
선예매: 2월 15일 (목) 1회차 오후 6시 / 2회차 오후 7시
일반: 2월 16일 (금) 1회차 오후 6시 / 2회차 오후 7시
예매자 추첨: 백스테이지 MEET & GREET 토/일 각 10명
티켓 예매: 인터파크
#SPYAIR #스파이에어 #내한공연"
REASON 2,롤링홀,2024-04-21,"코토바, 신스네이크, 매드맨즈 에스프릿, IVITs",media/myarticleimage/REASON22024-04-21.jpg,"REASON 2
DATE : 24.4.21
OPEN : 17:00
START : 17:30
AT : 롤링홀
[ TICKET ]
예매 : 35,000
현매 : 40,000
학생 : 20,000
LINE UP : IVITS, Synsnake, Cotoba, Madmans Esprit
예매링크 : https://witchform.com/payform/?uuid=4LYYH9TZRC"
LOUD BRIDGE FESTIVAL SEOUL 2024,예스24 라이브홀,2024-04-14,"더사운드, YB, 검엑스, Nothing's Carved In Stone",media/myarticleimage/LOUDBRIDGEFESTIVALSEOUL20242024-04-14.jpg,"한국 POP PUNK의 시작!
GUMX 주최 한•일 문화 교류 록 페스티벌
【LOUD BRIDGE FESTIVAL SEOUL 2024】
포스터 공개!
⠀
2024.4.13(SAT)•14(SUN)
YES24 LIVE HALL
⠀
🎫티켓 오픈 D-1‼️
많은 성원 부탁드립니다.
⠀
[YES24 TICKET 단독 판매]
•TICKETS: 132,000won (1DAY)
http://m.ticket.yes24.com/Perf/48337
⠀
・DAY 1 : 1/16(화)12:00~
・DAY 2 : 1/16(화)14:00~
⠀
[LINE UP]
⠀
▶ 4/13(SAT)
GUMX, SiM, HEY-SMITH, RIOT KIDZ
⠀
▶ 4/14(SUN)
GUMX, YB, Nothing’s Carved In Stone,
THE SOUND
⠀
and more...
⠀
GUMX PRESENTS
日韓文化交流ロックフェスティバル
【LOUD BRIDGE FESTIVAL SEOUL 2024】 ポスター公開!!
⠀
韓国ソウルYES24 LIVE HALL
2024.4.13~4.14
OPEN :14:00/ START:15:00
⠀
チケット発売まであと1日!!!
⠀
日本からのチケット購入はグローバルページから⬇️
http://ticket.yes24.com/Pages/English/Perf/FnPerfDeail.aspx?IdPerf=48337
⠀
Loud Bridge Festival
Designed by kishi_kouji
⠀
#LBFS2024 #LOUDBRIDGEFESTIVAL2024 #라우드브릿지 #GUMX #SIM #HEYSMITH #YB #NOTHINGSCARVEDINSTONE #RIOTKIDZ #THESOUND #검엑스"
LOUD BRIDGE FESTIVAL SEOUL 2024,미정,2024-04-13,"라이엇키즈, 검엑스, SiM, Hey Smith",media/myarticleimage/LOUDBRIDGEFESTIVALSEOUL20242024-04-13.jpg,"한국 POP PUNK의 시작!
GUMX 주최 한•일 문화 교류 록 페스티벌
【LOUD BRIDGE FESTIVAL SEOUL 2024】
포스터 공개!
⠀
2024.4.13(SAT)•14(SUN)
YES24 LIVE HALL
⠀
🎫티켓 오픈 D-1‼️
많은 성원 부탁드립니다.
⠀
[YES24 TICKET 단독 판매]
•TICKETS: 132,000won (1DAY)
⠀
・DAY 1 : 1/16(화)12:00~
・DAY 2 : 1/16(화)14:00~
⠀
[LINE UP]
⠀
▶ 4/13(SAT)
GUMX, SiM, HEY-SMITH, RIOT KIDZ
⠀
▶ 4/14(SUN)
GUMX, YB, Nothing’s Carved In Stone,
THE SOUND
⠀
and more...
⠀
GUMX PRESENTS
日韓文化交流ロックフェスティバル
【LOUD BRIDGE FESTIVAL SEOUL 2024】 ポスター公開!!
⠀
韓国ソウルYES24 LIVE HALL
2024.4.13~4.14
OPEN :14:00/ START:15:00
⠀
チケット発売まであと1日!!!
⠀
日本からのチケット購入はグローバルページから⬇️
http://ticket.yes24.com/Pages/English/Perf/FnPerfDeail.aspx?IdPerf=48337
⠀
GUMX
Designed by @KISHI_KOUJI
⠀
#LBFS2024 #LOUDBRIDGEFESTIVAL2024 #라우드브릿지 #GUMX #SIM #HEYSMITH #YB #NOTHINGSCARVEDINSTONE #RIOTKIDZ #THESOUND #검엑스"
SWANKY DANK LIVE IN SEOUL,무신사개러지,2024-03-30,SWANKY DANK,media/myarticleimage/SWANKYDANKLIVEINSEOUL2024-03-30.jpg,"SWANKY DANK LIVE IN SEOUL
[SWANKY PLAYGROUND TOUR 2024]
1999년 데뷔했던 Y2K의 멤버 유이치와 코지가 주축이 되어 결성된 SWANKY DANK는 일본에서 활동하는 네오펑크 기반의 록밴드입니다.
2024년 3월 30일 그들의 SWANKY PLAYGROUND TOUR 2024의 일환으로 한국을 방문합니다.
대한민국을 대표하는 모던록밴드 디어클라우드가 투어 파트너 밴드로 참여하는 이번 공연에 많은 관심 부탁드립니다.
일시 : 24/03/30 (SAT)
장소 : 무신사개러지
티켓 : 인터파크티켓
@SWANKYDANK_OFFICIAL @DEARCLOUD.OFFICIAL
#SWANKYDANK #DEARCLOUD #무신사개러지"
✨2024 몽니 콘서트: Eternal Memories,무신사개러지,2024-03-24,몽니,media/myarticleimage/2024mongnikonseoteuEternalMemories2024-03-24.jpg,"✨2024 몽니 콘서트: Eternal Memories
2024년 몽니의 봄이 피어난다!
다시 꺼내보는 몽니의 명곡들
음악 안에 그대로 남아있는 영원한 기억들
3월에 공개될
몽니의 명곡 RE-arrangement, 그리고 신곡!
몽니의 Eternal Memories
✔일시: 2024년 3월 24일(일) 오후 5시
✔장소: 무신사개러지
✔티켓: 전석 77,000원
✔예매처: 인터파크 티켓(1544-1555)
✔문의: 아트앤아티스트(02-3443-9482~3)
#몽니 #밴드몽니 #MONNI
#김신의 #이인경 #공태우 #정훈태
#콘서트 #무신사개러지"
해리빅버튼 HarryBigButton_클럽 크로울 Club Crowl_부산Busan,오방가르드,2024-03-16,"해리빅버튼, 서울부인",media/myarticleimage/haelibigbeoteunHarryBigButtonkeulleobkeuloulClubCrowlbusanBusan2024-03-16.jpg,"📢Club Crawl in 부산
장소 : 오방가르드 @OVANTGARDE
일시 : 2024. 3. 16 토Sat 8pm
해리빅버튼 @HARRYBIGBUTTON
게스트 : 서울부인 @SEOULBUSANINCHEON
클럽크로울 부산은
서울, 부산, 인천 출신 4인조 락커 연합
‘서울부인’이 함께 합니다!
“해리빅버튼과 함께 하는 클럽탐방 프로젝트
<클럽크로울 ClubCrawl>”
클럽크로울은 전국의 다양한 라이브 클럽들을
관객들에게 소개하는 해리빅버튼의 클럽 탐방 프로젝트로
2014년 시작하여 2018년까지 총 13회의 라이브 진행.
2024년을 기점으로 클럽크로울을 재개하여,
홍대로 대표되는 라이브 클럽에만 익숙한 관객들에게
전국의 다양한 라이브 클럽들을 소개하고자 합니다.
”Club Crawl is a guerrilla-style live show curated by HarryBigButton, aimed at exploring and showcasing emerging venues for gigs.“"
2024 염우진의 첫 단독 콘서트 : 첫 번째 설렘,카세트 스튜디오,2024-03-16,염우진,media/myarticleimage/2024yeomujinuicheosdandogkonseoteucheosbeonjjaeseollem2024-03-16.jpg,"우진이와 이른 봄날 따뜻한 음악으로 만나게 될
생애 첫 콘서트 : 첫 번째 설렘
첫 단독 공연이자 언플러그드 콘서트로 관객과 가까이서 만나 호흡하고자 이번 소규모 공연을 기획했다.
관객들과 만날 기대에 설렘 가득한 마음으로 이번 공연명을 '첫 번째 설렘'으로 확정하였다.
이른 봄날 설레는 마음으로 우진이와 함께 뮤직 라이브 함께 할까요?
━━━━━━━━━━━━━━━━━━━
[공연정보]
✔일시: 2024/03/16(토) 오후 6시 / 오후 7시 30분
✔공연시간: 60분
✔입장시간 : 공연시작 10분 전
✔장소 : 성산동 카세트 스튜디오
(서울시 마포구 성산동 242-5 지하 1층)
✔티켓: 전석 20,000원
✔좌석수: 회차 당 40석 / 선착순 입장
━━━━━━━━━━━━━━━━━━━
✔문의 luvclassic@GMAIL.COM"
PJ Morton Live In Seoul,무신사개러지,2024-03-15,PJ MORTON,media/myarticleimage/PJMortonLiveInSeoul2024-03-15.jpg,"Maroon 5의 키보디스트, 피제이 모턴 (PJ Morton) 내한공연
PJ Morton Live In Seoul
⁠
⁠
▶ 일시: 2024년 3월 15일 (금) 오후 8시⁠
▶ 장소: 무신사 개러지
▶ 관람등급: 만 12세 관람가⁠
▶ 티켓 가격: 스탠딩 전석 99,000원
본 공연은 회차 당 1인 4매까지 구매 가능합니다.⁠⁠
⁠
▶ 일반 예매: 2024년 2월 2일 (금) 낮 12시 ~⁠
▶ 예매처: 인터파크⁠ 티켓 (1544-1555)
▶ 주최/주관: ㈜라이브네이션코리아⁠
📌ENGLISH⁠
⁠
PJ Morton Live In Seoul
⁠
▶ Date: MAR 15, 2024 (FRI) 8:00 PM⁠
▶ Location: musinsa garage
▶ Age Limit: Ages 12 and above⁠
▶ Ticket Price: Standing ₩99,000⁠
Limited to 4 tickets per ID⁠ per show⁠
⁠
▶ General Release: FEB 2, 2024 (FRI) 12PM ~⁠
▶ Ticketing: ⁠Interpark⁠ ticket (1544-1555)
▶ Promoter: Live Nation Korea"
Let's Dream Night,프리즘홀,2024-03-08,"빈시트, 투지, 남동현, 더조이풀스, 세마",media/myarticleimage/LetsDreamNight2024-03-08.jpg,"Let’s Dream Night 🌈
어떤 꿈이던 좋아요!
우리 이날 밤만큼은
바라는 대로 마음껏 그려봐요🎨🤘🎸
🎶일시 : 2024.3.8 FRI PM 7:00 (KST)
📍장소 : Prism Live Hall
⏰러닝타임 : 약 180분
🧑‍🎨라인업 :
1️⃣#2Z @2ZBAND_OFFICIAL
2️⃣#남동현 @FUNNY_HYUN
3️⃣#더조이풀스 @THEJOYFOOLS
4️⃣#VINCIT @VINCIT_OFFICIAL
5️⃣#SEMA @SEMA.OFFICIAL.MRE"
