Title,Project,Date,Artist,Image,Content
[eill BLUE ROSE TOUR 2024 in SEOUL],무신사개러지,2024-11-23,eill,images_real2\eillBLUEROSETOUR2024inSEOUL_2024-11-23.jpg,"📢 eill 내한공연
[eill BLUE ROSE TOUR 2024 in SEOUL]
'여름을 향한 터널, 이별의 출구'의 OST로 국내 팬들의 귀를 사로잡았던 일본 싱어송라이터 eill(@_EILL_)
2024 eill BLUE ROSE TOUR의 마지막을 한국에서 장식합니다.
• 공연 일시 : 2024.11.23(토)~24(일) 오후 7시
• 공연 장소 : 무신사 개러지 / musinsa garage
• 티켓 가격 : 전석 스탠딩 88,000원
• 예매처 : 인터파크 티켓 단독[interpark ticket](@MUZ_PACE_ENT 프로필 링크)
✨️추후 공지사항은 @MUZ_PACE_ENT에서 확인 하실 수 있습니다!
@_EILL_ @EILL_INFO @MUZ_PACE_ENT"
𝗶𝗻𝗱𝗶𝗴𝗼 𝗹𝗮 𝗘𝗻𝗱 𝗟𝗶𝘃𝗲 𝗶𝗻 𝗦𝗲𝗼𝘂𝗹,무신사개러지,2024-11-16,Indigo la End,images_real2\_2024-11-16.jpg,"𝗶𝗻𝗱𝗶𝗴𝗼 𝗹𝗮 𝗘𝗻𝗱 𝗟𝗶𝘃𝗲 𝗶𝗻 𝗦𝗲𝗼𝘂𝗹
🗓️공연일시: 2024년 11월 16일 (토) 오후 7시
📍장소: 홍대 무신사 개러지 / 서울특별시 마포구 잔다리로 32 (서문빌딩) B1F
🔹티켓 가격: 예매 99,000원
🔹티켓 오픈 일시: 8월 13일 (화) 12:00
🔹예매처: 인터파크 http://ticket.interpark.com/
🔹문의처: hipsquare@NAVER.COM
▫️公演日：2024年11月16日 (土)
▫️会場：ソウル・弘大 musinsa garage
▫️時間：開場 18:00 / 開演 19:00
▫️出演：indigo la End
▫️料金：前売 99,000won
▫️チケット発売日：8月13日 (火) 12:00~
🔻http://ticket.interpark.com/
▫️お問い合わせ：hipsquare@NAVER.COM
인디고 지평선을 닮은 일본 밴드 -
인디고 라 엔드의 첫 단독 내한 공연
특유의 음악 색깔을 지닌 밴드 인디고 라 엔드가 인천펜타포트락페스티벌에 이어 오는 11월 첫 단독 공연으로 한국 팬들을 찾을 예정입니다.
노을이 지고 짙은 쪽빛이 내려앉은 하늘처럼 몽환적이고 감성적인 이들의 음악을 가을에도 즐길 수 있게 되었습니다.
인디고 라 엔드는 2010년 카와타니 에논을 주축으로 결성되어 몇차례 멤버 구성의 변화에도 흔들림없이 자신들만의 음악 세계를 구축해나가고 있습니다. 기타 선율과 함께 전개되는 보컬, 여기에 절묘하게 조화를 이루는 리듬 섹션, 그리고 세심하게 틈을 채우는 코러스까지. 세밀하게 전개되는 인디고 라 엔드 음악의 절묘함의 미학은 무대에서 밀도있게 표현됩니다.
일본에서 다양한 형태로 음악 세계를 펼치고 있기도 한 보컬 카와타니 에논에게 인디고 라 엔드는 그의 음악적 출발점과도 같습니다. 독보적인 음악으로 팬층을 형성해가고 있는 이 밴드의 매력을 무대에서 꼭 확인해보시길 바랍니다.
#𝗶𝗻𝗱𝗶𝗴𝗼𝗹𝗮𝗘𝗻𝗱 #인디고라엔드"
<Samm Henshaw LIVE IN SEOUL>,무신사개러지,2024-11-10,Samm Henshaw,images_real2\SammHenshawLIVEINSEOUL_2024-11-10.jpg,"샘 헨쇼 내한공연
<Samm Henshaw LIVE IN SEOUL>
How Does It Feel? 😎❓❕
파워풀한 목소리와 레트로 소울을 지닌
영국 싱어송라이터 샘 헨쇼(@SAMMHENSHAW)
11월 10일 (일) 무신사 개러지, 내한공연 확정!
▶공연일시 : 2024년 11월 10일 (일) 오후 6시
▶공연장소 : 무신사 개러지
▶티켓가격 : 스탠딩석 99,000원
▶티켓오픈 : 2024년 7월 26일 (금) 낮 12시
▶예매처 : 인터파크 티켓(ticket.interpark.com),
멜론티켓(ticket.melon.com)
<Samm Henshaw LIVE IN SEOUL>
▶Date : Nov 10 (SUN), 2024 at 6pm
▶Venue : MUSINSA GARAGE
▶Ticket Price : Standing 99,000
▶On-sale : July 26 (FRI), 2024 at 12pm
▶Ticket : INTERPARK TICKET(ticket.interpark.com),
MELON TICKET(ticket.melon.com)"
Matt Maltese LIVE IN SEOUL,무신사개러지,2024-11-08,Matt Maltese,images_real2\MattMalteseLIVEINSEOUL_2024-11-08.jpg,"맷 말티스 내한공연
<Matt Maltese LIVE IN SEOUL>
As The World Caves In🎞
진솔한 가사로 위로를 전하는
싱어송라이터 맷 말티스(@MATTHEWMALTESE)
11월 8일(금), 첫 단독 내한공연 확정!
▶공연일시 : 2024년 11월 8일(금) 오후 8시
▶공연장소 : 무신사 개러지
▶티켓가격 : 스탠딩석 99,000원
▶티켓오픈 : 2024년 5월 27일 (월) 낮 12시
▶예매처 : 인터파크 티켓(ticket.interpark.com),
멜론티켓(ticket.melon.com)
<Matt Maltese LIVE IN SEOUL>
▶Date : Nov 8 (FRI), 2024 at 8pm
▶Venue : MUSINSA GARAGE
▶Ticket Price : Standing 99,000
▶On-sale : May 27 (Mon), 2024 at 12pm
▶Ticket : INTERPARK TICKET(ticket.interpark.com),
MELON TICKET(ticket.melon.com)"
제비다방 컴필레이션 2024/2025,무신사개러지,2024-10-08,"극동아시아타이거즈, 차세대, 카더가든, 서울전자음악단, 채무자들, 김일두, 카디, 파라솔 웨이브스, 무이야드, 불나방스타쏘세지클럽, 여유와설빈",images_real2\20242025_2024-10-08.jpg,"[제비다방 컴필레이션 2024/2025]
▫티켓오픈
무신사(선예매) 2024년 8월26일 (월) 13:00
인터파크 2024년 9월2일 (월) 13:00
▫일시
2024년 10월8일 (화) 18:30
2024년 10월9일 (수) 17:30
▫장소
무신사 개러지 (서울 마포구 잔다리로32 서문빌딩 지하1층)
▫LINE-UP
10. 8 (화)
김일두@KIMILDU
카디 @BANDKARDI_
무이야드@MOOEEYARD
파라솔웨이브 @PARASOL_WAVES
불나방스타쏘세지클럽 @BSSC.OFFICIAL
——————
10. 9 (수)
여유와설빈 @YEOYU_SEOLBIN
카더가든 @CARTHEGARDEN
서울전자음악단 @SEOUL_ELECTRIC_BAND
채무자들 @DDEBTORSS
극동아시아타이거즈 @FAR_EAST_ASIAN_TIGERS
차세대 @NEWTAPE6
▫티켓가격 (1일권) 예매 66,000원 현매 70,000원 (전석 스탠딩)
▫2025년 상반기, 제비다방2024/2025 공연라이브앨범이 발매됩니다.
▫아트워크 / 디자인
Artworks @IANMIMESIS
Design clyn.kim810@GMAIL.COM
앞으로 더 자세한 소식들은 #제비다방 인스타그램 (@JEBIDABANG)을 참고해주세요.
#제비다방컴필레이션 #제비컴필"
라밴락페2024,미정,2024-10-06,13CHILDREN,images_real2\labaenlagpe2024_2024-10-06.jpg,정보를 추가해 주세요
수퍼 겁쟁이들의 쉼터,언드,2024-09-28,"병아리블루, 꼬메무스 누벵, 원와트",images_real2\supeogeobjaengideuluiswimteo_2024-09-28.jpg,"수퍼 겁쟁이들의 쉼터는
멋쟁이 클럽에 가지 못한 자들이 가는 곳입니다.
그렇다면 무엇이 우리를 겁쟁이로 만들고
수퍼 겁쟁이들의 쉼터로 이끌었을까요?
사람들마다 다르겠지만, 대부분은 두려움과 불안감 때문이겠지요.
하지만, 그런 시간들을 잊기 위한 곳이 있다면?
슈퍼 겁쟁이들의 쉼터에서는 두려움과 불안함을
모두 잊고 좋은 시간을 보낼 수 있습니다.
서울의 병아리블루, 대구의 원와트,거제의 꼬메무스 누벵과 함께 언드라는 이름의 쉼터에서 편안한 시간을 보내고싶다면,
수퍼 겁쟁이들의 쉼터로 오세요!
· 일시 : 2024년 9월 28일 19:00 (18:30 입장)
· 장소 : 언드 @UND_SPACE (경남 거제시 거제대로3734 지하1층)
· 티켓정보 : 예매 1.5만 현매 2만
※청소년 무료입장(학생증 필참)※
농협 356-0980-6511-33 김다빈
입금한 후에 @COMEMOS_NUVEM 프로필 bio 의 링크 클릭후 폼 작성 부탁드립니다!
※청소년도 폼 작성 부탁드려요!※
🍭LINE UP
원와트 @1WATT_LETSGO
꼬메무스 누벵 @COMEMOS_NUVEM
병아리블루 @BLUECHICK_0
📢공지사항 Notice📢
· 입금 후 24시간 내에 확인 문자를 드립니다.
· 공연 당일 선착순 입장입니다.
· 공연장 내 팁박스가 비치되어 있습니다
⠀(팁박스 수익은 전액 뮤지션에게 제공됩니다.)
· 공연장 내 Bar를 통해 음료 및 주류 주문이 가능하며,
⠀청소년의 주류 이용은 엄격히 금지됩니다.
· 본 공연은 사진 및 동영상 촬영이 철저하게 허용됩니다.
⠀아티스트가 관객 여러분에게 선사하는 멋진 무대를
⠀SNS에 널리 퍼트려 주시는 아름다운 관람 매너를 부탁드립니다!
문의 : @VACANTGLOW
Artwork by @ANIDONNO"
9월 해질녘 콘서트 - 전하고 싶은 말 by 연정(YeonJeong),북두칠성도서관 아트훌,2024-09-28,연정,images_real2\9wolhaejilnyeokkonseoteujeonhagosipeunmalbyyeonjeongYeonJeong_2024-09-28.jpg,"9월 해질녘 콘서트 - 전하고 싶은 말 by 연정(YeonJeong)
공연일시 : 9.28 (토) 오후 5시
공연장소 : 북두칠성도서관 아트훌
관람연령 : 중학생 이상
**무료공연
예약기간 : 9.13(금) 오전 10시 ~ 9.27(금) 오후 6시
예약정원 : 선착순 100명
예약방법 : '북두칠성도서관' 카카오톡 1:1 채팅
*예약기간 이전에 보낸 메시지는 예약에서 제외되오니 신청방법을 자세히 살펴보시고 예약 부탁드립니다.
*본 공연은 비지정 좌석 공연이며, 관객 입장은 현장 선착순 입장입니다. 상황에 따라 입석 관람이 될 수 있습니다.
문의는 카카오톡 채널 [북두칠성도서관] 으로 해 주시면 빠르게 답변 받으실 수 있습니다."
Love Chips Festival 2024,미정,2024-09-28,"더사운드, 라이엇키즈, 갤럭시 익스프레스, 아디오스오디오, 크라잉넛, 로큰롤라디오, SURL, 쏜애플, YB, 검엑스, 이지형, 로맨틱펀치, Crossfaith, PUFFY, 마이큐, 04 Limited Sazabys, Coldrain",images_real2\LoveChipsFestival2024_2024-09-28.jpg,"【LOVE CHIPS FESTIVAL 2024 2차 라인업 발표】
⠀
2024.9.28(SAT)~9.29(SUN)
’인천 상상플랫폼 야외광장‘
⠀
“LOVE CHIPS FESTIVAL 2024“
2차 라인업 & 날짜별 출연 아티스트를 공개합니다‼️
⠀
「04 Limited Sazabys」 「coldrain」 「Northern19」
「쏜애플」 「SURL」 「더 사운드」출연 확정!🎶👏
⠀
9/28(토)
⠀
04 Limited Sazabys /PUFFY /GUMX
크라잉넛 /Northern19 /갤럭시 익스프레스 /마이큐
이지형 /라이엇키즈
and more…
⠀
9/29(일)
⠀
YB /coldrain /Crossfaith
쏜애플 /로맨틱펀치 /아디오스 오디오
SURL/ 로큰롤라디오 /더 사운드
and more…
⠀
<일반 티켓 오픈>
🎫7월16일(화)오후 2시~
INTERPARK TICKET에서 OPEN!
1일권:110,000원/2일권:176,000원
⠀
자세한 소식은
러브칩스 페스티벌 공식 SNS를 통해 확인 부탁드립니다.
@LOVECHIPSFESTIVAL
⠀
아티스트, 음악과 함께 다양한 사랑에 대해
이해하고 경험하며 더 나은 세상을 위한 가치를 공유하는
“LOVE CHIPS FESTIVAL 2024“
많은 성원 부탁드립니다!
⠀
【LOVE CHIPS FESTIVAL 2024】
‘INCHEON SANGSANG PLATFORM SQUARE’
第2弾ラインナップ&日割り発表❗
⠀
9/28(SAT)
⠀
04 Limited Sazabys /PUFFY /GUMX
/CRYING NUT /Northern19 /GALAXY EXPRESS
/MY Q /E Z Hyoung /RIOT KIDZ
and more…
⠀
9/29(SUN)
⠀
YB /coldrain /Crossfaith /THORNAPPLE /ROMANTIC PUNCH /ADIOS AUDIO /SURL /ROCK N‘ ROLL RADIO
/THE SOUND
and more…
⠀
[🎫一般発売]
7月16日(火)14:00より一般発売開始!!
ticket.interpark.com/Global
⠀
みなさまよろしくお願いします!
⠀
#LOVECHIPSFESTIVAL #러브칩스페스티벌#LCF2024 #04LIMITEDSAZABYS #COLDRAIN #NORTHERN19 #쏜애플 #SURL #YB #CROSSFAITH #PUFFY #GUMX #더사운드 #이지형 #로큰롤라디오 #아디오스오디오 #로맨틱펀치 #갤럭시익스프레스 #마이큐 #라이엇키즈 #MUSICFESTIVAL"
막주금라이브 Vol.33 [미지니],Cafe PPnF,2024-09-27,미지니,images_real2\magjugeumlaibeuVol33mijini_2024-09-27.jpg,"#막주금라이브 Vol.33 [ #미지니 ]
with 달달이 시즌3 <미지베이커리>
일상의 사소한 일들에 엉뚱한 상상을 더하여 무지개빛 그림을 그려내는, 즐거움을 노래하는 싱어송라이터 ’미지니‘ @V_MIJINEE
여름의 활기와 가을의 차분함이 어우러져
특별한 감성을 자아내는 9월의 마지막 주 금요일
9월 막주금라이브는 미지니 소극장공연
[달달이 시즌3] <미지베이커리> 와 함께 합니다.😎
⠀
📣 공연시간: 9/27(금) 저녁 8시
☕ 공연장소: cafe PPnF
(서울 종로구 성균관로 87, 효천아트센터 內 LF)
🏁 티켓오픈: 9/6(금) 오후 6시 (네이버 예매)
🎫 티켓: 25,000원 (1 Free Drink)
⠀
📌 <예매관련 공지>
본 공연장은 지정 좌석이 아닌, 입장 선착순 자율 좌석제 입니다.
관객 입장은 공연 시작 1시간 전(오후 7시)부터 가능합니다.
공연이 시작된 이후에는 지정된 시간 외 입장이 제한됩니다.
사전에 협의되지 않은, 전문장비를 동원한 사진 촬영, 영상 녹화 및 음원 녹취는 절대 불가합니다.
취소 및 환불은 예매처 규정을 참고하여 주십시오.
주차공간이 혼잡하오니, 대중교통을 이용해주시기 바랍니다.
🔗 예매링크: 프로필 링크 참고!
📞 문의: 02)3676-2353 (주)위드에이치씨
⠀
막주금라이브는 (주)위드에이치씨(withHC),
(주)더에이치컬쳐스 와 Cafe PPnF 가 함께 합니다.
⠀
Joy Together withHC -"
