Artist,Name,Text
21SCOTT,이름,21스캇(21Scott)
21SCOTT,유형,그룹 (남성)
21SCOTT,데뷔,2006년
21SCOTT,국적,대한민국
21SCOTT,장르,"인디, 락/메탈"
21SCOTT,멤버,이태호김성훈남상준
21SCOTT,바이오그래피,"2001년 그런지밴드 유테로와 펑크밴드 런캐럿의 멤버인 성훈과 태호가 만나 멜로펑크 프로젝트 밴드를 구상하게 되었으며, 런캐럿의 드러머 남상준이 합류하여 3인조 라인업을 완성. 이후 밴드는 '21SCOTT'라는 이름으로 활동을 시작하였고, 2004년 멤버 군 제대 후 변동 없이 활동을 재개. 멜로펑크와 팝적 요소를 결합한 음악 스타일로 다양한 라이브 공연을 통해 실력을 인정받고 있으며, 쌈싸페 출전밴드로도 유명함."
21SCOTT,대표 앨범,"앨범명: Rock Star, 발매일: 2014.03.27, 유형: 정규
앨범명: Zero Sum Rule & Three Rock Stars, 발매일: 2007.07.27, 유형: 싱글
앨범명: Lost In California, 발매일: 2006.01.21, 유형: 정규
"
21SCOTT,대표곡,"곡명: 이젠 내가 있을게, 앨범: Rock Star
곡명: I Will Be Missing You, 앨범: Rock Star
곡명: Paindora's Box, 앨범: Lost In California
곡명: Zero Sum Rule, 앨범: Zero Sum Rule & Three Rock Stars
곡명: Rock Star, 앨범: Rock Star
"
9B2,밴드 이름,9B2
9B2,대표곡,점(완전히 사라지는 방법)
9B2,장르,포스트록얼터너티브록
9B2,멤버,"조유찬:
'역할': '보컬/기타'
권진혁:
'역할': '키보드'
이덕원:
'역할': '드럼'
백정현:
'역할': '베이스'
김지원:
'역할': '기타'
"
9B2,창단연도,2018년
9B2,창단장소,서울시립대학교
9B2,밴드_역사,2019년 1월 대학교 연합공연 시작2020년 2월 대학교 연합공연 참여2022년 1월 서울시립대학교 제퍼나이어 2학기 정기공연 및 2월 대학교 연합공연 참여2022년 7월부터 앨범 작업 준비 중
9B2,밴드_특징,"다양한 배경과 취향의 멤버들이 모여 내면세계를 음악과 비주얼, 무대 연출을 통해 청자에게 전달. 멤버 모두가 창작 과정에 참여하며, 음악뿐만 아니라 주간 음감회를 통해 음악적 스펙트럼을 확장."
ABTB,밴드 이름,ABTB (Attraction Between Two Bodies)
ABTB,데뷔,2016년
ABTB,장르,얼터너티브-하드 록
ABTB,수상 이력,2017년 한국대중음악상 최우수 록(음반)2021년 한국대중음악상 최우수 록(음반/노래)
ABTB,멤버,"현재 멤버:
'강대희': '드럼 (2014년~현재)', '박근홍': '보컬 (2014년~현재)', '장혁조': '베이스 (2014년~현재)', '황린': '기타 (2016년 5월~현재)', '곽상규': '기타 (2019년 11월~현재)'
"
ABTB,디스코그래피,"정규 앨범:
앨범 이름: Attraction Between Two Bodies, 발매일: 2016년 10월 7일, 트랙 목록: ['Artificial', '시대정신', 'Zeppelin', '할렐루야', 'Matador', '별 헤는 밤', 'Infusion', 'Esc', 'Love Of My Life', '국면전환', 'Out Of Town', 'Complete']
앨범 이름: daydream, 발매일: 2020년 5월 1일, 트랙 목록: ['nightmare', 'a-void', '인정투쟁', 'my people', 'paradox', 'neurosis', '무리수', 'tainted', 'daydream (feat. 신윤철)', '가이없다']
앨범 이름: iii, 발매일: 2022년 11월 8일, 트랙 목록: ['BULLY', 'JUMP (feat. 조규현)', 'BLUFFING (feat. 김바다)', 'EMPIRE (feat. 조규현)', 'SANTIAGO (feat. 조규현)', 'Take Me To (feat. 김바다)', 'END (feat. 이윤찬)', 'THRILLER (feat. 배인혁)', 'Gray Boy (feat. 이윤찬)']
싱글:
앨범 이름: 이중사고 (doublethink), 발매일: 2017년 10월 20일
앨범 이름: 무임승차 (Free Rider), 발매일: 2017년 11월 26일
앨범 이름: 무리수, 발매일: 2020년 3월 1일
앨범 이름: a-void, 발매일: 2020년 4월 1일
편집 앨범:
앨범 이름: 튠업 헌정 앨범 신중현 THE ORIGIN, 발매일: 2017년 6월 14일
앨범 이름: SUM [숨∞] 여덟 번째 그린플러그드 공식 옴니버스 앨범, 발매일: 2018년 4월 6일
앨범 이름: 블랙홀 트리뷰트 - RE-ENCOUNTER THE MIRACLE, 발매일: 2019년 9월 3일
"
13CHILDREN,아티스트명,13CHILDREN
